,item,RC-licensor,gap,island,ext-type,token,critical,surprisal
9,2,1,0,0,subject,公表,0,8.210220336914060
10,2,1,0,0,subject,された,0,1.5198752880096400
11,2,1,0,0,subject,アイドル,1,15.060710906982400
12,2,1,0,0,subject,は,1,3.5209553241729700
13,2,1,0,0,subject,多,1,11.776904106140100
14,2,1,0,0,subject,才,1,5.5513715744018600
15,2,1,0,0,subject,だ,1,3.5401129722595200
16,2,1,0,0,subject,。,1,0.592382550239563
17,2,1,0,0,subject,</s>,1,1.7607693672180200
0,2,1,0,1,subject,アイドル,0,0.0
1,2,1,0,1,subject,が,0,4.838210582733150
2,2,1,0,1,subject,受,0,13.949554443359400
3,2,1,0,1,subject,かった,0,5.329800128936770
4,2,1,0,1,subject,大学,0,8.660710334777830
5,2,1,0,1,subject,が今,0,13.409214973449700
6,2,1,0,1,subject,朝,0,9.118086814880370
7,2,1,0,1,subject,事務所,0,12.557138442993200
8,2,1,0,1,subject,から,0,3.683306932449340
9,2,1,0,1,subject,公表,0,8.205110549926760
10,2,1,0,1,subject,された,0,1.7795636653900100
11,2,1,0,1,subject,アイドル,1,15.851605415344200
12,2,1,0,1,subject,は,1,3.467761754989620
13,2,1,0,1,subject,多,1,12.250786781311000
14,2,1,0,1,subject,才,1,5.570779323577880
15,2,1,0,1,subject,だ,1,4.558574676513670
16,2,1,0,1,subject,。,1,0.6939183473587040
17,2,1,0,1,subject,</s>,1,1.490613579750060
0,2,0,1,0,subject,大学,0,0.0
1,2,0,1,0,subject,に,0,7.206901550292970
2,2,0,1,0,subject,受,0,4.691164016723630
3,2,0,1,0,subject,かった,0,1.6347873210907000
4,2,0,1,0,subject,ことが,0,7.504067897796630
5,2,0,1,0,subject,今朝,0,22.387815475463900
6,2,0,1,0,subject,事務所,0,15.670112609863300
7,2,0,1,0,subject,から,0,4.637018203735350
8,2,0,1,0,subject,公表,0,13.762175559997600
9,2,0,1,0,subject,された,0,2.5748610496521000
10,2,0,1,0,subject,多,1,18.273822784423800
11,2,0,1,0,subject,才,1,8.27205753326416
12,2,0,1,0,subject,だ,1,10.486076354980500
13,2,0,1,0,subject,。,1,1.1728391647338900
14,2,0,1,0,subject,</s>,1,1.3315666913986200
0,2,0,1,1,subject,<s>,0,0.0
1,2,0,1,1,subject,受,0,13.17259693145750
2,2,0,1,1,subject,かった,0,5.633152961730960
3,2,0,1,1,subject,大学,0,6.831555366516110
4,2,0,1,1,subject,が今,0,17.30766487121580
5,2,0,1,1,subject,朝,0,9.86638355255127
6,2,0,1,1,subject,事務所,0,15.081768035888700
7,2,0,1,1,subject,から,0,4.046014308929440
8,2,0,1,1,subject,公表,0,16.964893341064500
9,2,0,1,1,subject,された,0,3.682704448699950
10,2,0,1,1,subject,多,1,16.890867233276400
11,2,0,1,1,subject,才,1,10.220403671264600
12,2,0,1,1,subject,だ,1,9.395825386047360
13,2,0,1,1,subject,。,1,1.097119927406310
14,2,0,1,1,subject,</s>,1,1.343063473701480
0,2,1,1,0,subject,大学,0,0.0
1,2,1,1,0,subject,に,0,7.206901550292970
2,2,1,1,0,subject,受,0,4.691164016723630
3,2,1,1,0,subject,かった,0,1.6347873210907000
4,2,1,1,0,subject,ことが,0,7.504067897796630
5,2,1,1,0,subject,今朝,0,22.387815475463900
6,2,1,1,0,subject,事務所,0,15.670112609863300
7,2,1,1,0,subject,から,0,4.637018203735350
8,2,1,1,0,subject,公表,0,13.762175559997600
9,2,1,1,0,subject,された,0,2.5748610496521000
10,2,1,1,0,subject,アイドル,1,19.016925811767600
11,2,1,1,0,subject,は,1,4.38448429107666
12,2,1,1,0,subject,多,1,11.463507652282700
13,2,1,1,0,subject,才,1,8.248552322387700
14,2,1,1,0,subject,だ,1,3.1243550777435300
15,2,1,1,0,subject,。,1,0.3065721392631530
16,2,1,1,0,subject,</s>,1,1.5125970840454100
0,2,1,1,1,subject,<s>,0,0.0
1,2,1,1,1,subject,受,0,13.17259693145750
2,2,1,1,1,subject,かった,0,5.633152961730960
3,2,1,1,1,subject,大学,0,6.831555366516110
4,2,1,1,1,subject,が今,0,17.30766487121580
5,2,1,1,1,subject,朝,0,9.86638355255127
6,2,1,1,1,subject,事務所,0,15.081768035888700
7,2,1,1,1,subject,から,0,4.046014308929440
8,2,1,1,1,subject,公表,0,16.964893341064500
9,2,1,1,1,subject,された,0,3.682704448699950
10,2,1,1,1,subject,アイドル,1,19.679248809814500
11,2,1,1,1,subject,は,1,6.955572605133060
12,2,1,1,1,subject,多,1,11.945210456848100
13,2,1,1,1,subject,才,1,6.976884841918950
14,2,1,1,1,subject,だ,1,4.423941135406490
15,2,1,1,1,subject,。,1,0.5479917526245120
16,2,1,1,1,subject,</s>,1,1.4850523471832300
0,3,0,0,0,subject,営業,0,0.0
1,3,0,0,0,subject,マンが,0,5.804951190948490
2,3,0,0,0,subject,契約,0,7.916347503662110
3,3,0,0,0,subject,を取った,0,8.390361785888670
4,3,0,0,0,subject,ことが,0,9.367047309875490
5,3,0,0,0,subject,今朝,0,21.030614852905300
6,3,0,0,0,subject,朝,0,10.403091430664100
7,3,0,0,0,subject,礼,0,3.442476272583010
8,3,0,0,0,subject,で,0,0.4413432478904720
9,3,0,0,0,subject,発表された,0,4.780369281768800
10,3,0,0,0,subject,ので,1,4.029787540435790
11,3,0,0,0,subject,羨,1,16.15503692626950
12,3,0,0,0,subject,ましい,1,1.2673938274383500
13,3,0,0,0,subject,。,1,2.544105052948000
14,3,0,0,0,subject,</s>,1,0.8469498753547670
0,3,0,0,1,subject,営業,0,0.0
1,3,0,0,1,subject,マンが,0,5.804951190948490
2,3,0,0,1,subject,取った,0,14.836786270141600
3,3,0,0,1,subject,契約,0,7.8819427490234400
4,3,0,0,1,subject,が今,0,14.552321434021000
5,3,0,0,1,subject,朝,0,10.263520240783700
6,3,0,0,1,subject,朝,0,10.93006706237790
7,3,0,0,1,subject,礼,0,5.7268571853637700
8,3,0,0,1,subject,で,0,0.6000901460647580
9,3,0,0,1,subject,発表された,0,5.104269027709960
10,3,0,0,1,subject,ので,1,5.719491004943850
11,3,0,0,1,subject,羨,1,17.62238883972170
12,3,0,0,1,subject,ましい,1,1.3842098712921100
13,3,0,0,1,subject,。,1,2.645627021789550
14,3,0,0,1,subject,</s>,1,0.8762089610099790
0,3,1,0,0,subject,営業,0,0.0
1,3,1,0,0,subject,マンが,0,5.804951190948490
2,3,1,0,0,subject,契約,0,7.916347503662110
3,3,1,0,0,subject,を取った,0,8.390361785888670
4,3,1,0,0,subject,ことが,0,9.367047309875490
5,3,1,0,0,subject,今朝,0,21.030614852905300
6,3,1,0,0,subject,朝,0,10.403091430664100
7,3,1,0,0,subject,礼,0,3.442476272583010
8,3,1,0,0,subject,で,0,0.4413432478904720
9,3,1,0,0,subject,発表された,0,4.780369281768800
10,3,1,0,0,subject,営業,1,13.718976020813000
11,3,1,0,0,subject,マンは,1,3.662278413772580
12,3,1,0,0,subject,自慢,1,13.01822280883790
13,3,1,0,0,subject,げ,1,0.8914920091629030
14,3,1,0,0,subject,だ,1,7.626926898956300
15,3,1,0,0,subject,。,1,0.3993299603462220
16,3,1,0,0,subject,</s>,1,1.2502202987670900
0,3,1,0,1,subject,営業,0,0.0
1,3,1,0,1,subject,マンが,0,5.804951190948490
2,3,1,0,1,subject,取った,0,14.836786270141600
3,3,1,0,1,subject,契約,0,7.8819427490234400
4,3,1,0,1,subject,が今,0,14.552321434021000
5,3,1,0,1,subject,朝,0,10.263520240783700
6,3,1,0,1,subject,朝,0,10.93006706237790
7,3,1,0,1,subject,礼,0,5.7268571853637700
8,3,1,0,1,subject,で,0,0.6000901460647580
9,3,1,0,1,subject,発表された,0,5.104269027709960
10,3,1,0,1,subject,営業,1,10.980459213256800
11,3,1,0,1,subject,マンは,1,6.7893548011779800
12,3,1,0,1,subject,自慢,1,13.572956085205100
13,3,1,0,1,subject,げ,1,0.3837442100048070
14,3,1,0,1,subject,だ,1,7.304546356201170
15,3,1,0,1,subject,。,1,0.5223374366760250
16,3,1,0,1,subject,</s>,1,1.3829303979873700
0,3,0,1,0,subject,契約,0,0.0
1,3,0,1,0,subject,を取った,0,13.529877662658700
2,3,0,1,0,subject,ことが,0,9.021918296813970
3,3,0,1,0,subject,今朝,0,21.507583618164100
4,3,0,1,0,subject,朝,0,9.591717720031740
5,3,0,1,0,subject,礼,0,5.442150115966800
6,3,0,1,0,subject,で,0,3.9401252269744900
7,3,0,1,0,subject,発表された,0,5.480583667755130
8,3,0,1,0,subject,自慢,1,18.852455139160200
9,3,0,1,0,subject,げ,1,4.508980751037600
10,3,0,1,0,subject,だ,1,13.117727279663100
11,3,0,1,0,subject,。,1,0.5600360631942750
12,3,0,1,0,subject,</s>,1,0.7592222094535830
0,3,0,1,1,subject,<s>,0,0.0
1,3,0,1,1,subject,取った,0,16.629619598388700
2,3,0,1,1,subject,契約,0,13.011037826538100
3,3,0,1,1,subject,が今,0,14.994534492492700
4,3,0,1,1,subject,朝,0,9.995901107788090
5,3,0,1,1,subject,朝,0,8.894524574279790
6,3,0,1,1,subject,礼,0,12.638630867004400
7,3,0,1,1,subject,で,0,0.6608426570892330
8,3,0,1,1,subject,発表された,0,5.445983409881590
9,3,0,1,1,subject,自慢,1,19.439786911010700
10,3,0,1,1,subject,げ,1,5.444103717803960
11,3,0,1,1,subject,だ,1,14.130672454834000
12,3,0,1,1,subject,。,1,0.5837201476097110
13,3,0,1,1,subject,</s>,1,0.735865592956543
0,3,1,1,0,subject,契約,0,0.0
1,3,1,1,0,subject,を取った,0,13.529877662658700
2,3,1,1,0,subject,ことが,0,9.021918296813970
3,3,1,1,0,subject,今朝,0,21.507583618164100
4,3,1,1,0,subject,朝,0,9.591717720031740
5,3,1,1,0,subject,礼,0,5.442150115966800
6,3,1,1,0,subject,で,0,3.9401252269744900
7,3,1,1,0,subject,発表された,0,5.480583667755130
8,3,1,1,0,subject,営業,1,15.799440383911100
9,3,1,1,0,subject,マンは,1,4.750452518463140
10,3,1,1,0,subject,自慢,1,13.681230545043900
11,3,1,1,0,subject,げ,1,0.7308767437934880
12,3,1,1,0,subject,だ,1,7.12844705581665
13,3,1,1,0,subject,。,1,0.20198193192482000
14,3,1,1,0,subject,</s>,1,1.0411251783371000
0,3,1,1,1,subject,<s>,0,0.0
1,3,1,1,1,subject,取った,0,16.629619598388700
2,3,1,1,1,subject,契約,0,13.011037826538100
3,3,1,1,1,subject,が今,0,14.994534492492700
4,3,1,1,1,subject,朝,0,9.995901107788090
5,3,1,1,1,subject,朝,0,8.894524574279790
6,3,1,1,1,subject,礼,0,12.638630867004400
7,3,1,1,1,subject,で,0,0.6608426570892330
8,3,1,1,1,subject,発表された,0,5.445983409881590
9,3,1,1,1,subject,営業,1,13.529131889343300
10,3,1,1,1,subject,マンは,1,8.110993385314940
11,3,1,1,1,subject,自慢,1,14.255666732788100
12,3,1,1,1,subject,げ,1,0.367723673582077
13,3,1,1,1,subject,だ,1,7.093318462371830
14,3,1,1,1,subject,。,1,0.38724714517593400
15,3,1,1,1,subject,</s>,1,1.0713143348693800
0,4,0,0,0,subject,<s>,0,0.0
1,4,0,0,0,subject,芸,0,12.978181838989300
2,4,0,0,0,subject,人が,0,4.979935169219970
3,4,0,0,0,subject,別荘,0,16.721031188964800
4,4,0,0,0,subject,を建て,0,7.6119771003723100
5,4,0,0,0,subject,た,0,2.454451084136960
6,4,0,0,0,subject,ことが,0,8.359418869018560
7,4,0,0,0,subject,先日,0,13.988886833190900
8,4,0,0,0,subject,雑誌,0,10.694745063781700
9,4,0,0,0,subject,に,0,3.2344982624054000
10,4,0,0,0,subject,取材,0,8.40274715423584
11,4,0,0,0,subject,されたので,1,8.69961166381836
12,4,0,0,0,subject,喜,1,15.515372276306200
13,4,0,0,0,subject,んだ,1,3.727736234664920
14,4,0,0,0,subject,。,1,2.2505760192871100
15,4,0,0,0,subject,</s>,1,1.2455918788909900
0,4,0,0,1,subject,<s>,0,0.0
1,4,0,0,1,subject,芸,0,12.978181838989300
2,4,0,0,1,subject,人が,0,4.979935169219970
3,4,0,0,1,subject,建てた,0,15.351737976074200
4,4,0,0,1,subject,別荘,0,8.070446968078610
5,4,0,0,1,subject,が,0,4.410358905792240
6,4,0,0,1,subject,先日,0,12.686962127685500
7,4,0,0,1,subject,雑誌,0,8.566384315490720
8,4,0,0,1,subject,に,0,3.7685554027557400
9,4,0,0,1,subject,取材,0,6.336303234100340
10,4,0,0,1,subject,されたので,1,8.265326499938970
11,4,0,0,1,subject,喜,1,16.167869567871100
12,4,0,0,1,subject,んだ,1,3.1742355823516800
13,4,0,0,1,subject,。,1,3.106945037841800
14,4,0,0,1,subject,</s>,1,1.5853195190429700
0,4,1,0,0,subject,<s>,0,0.0
1,4,1,0,0,subject,芸,0,12.978181838989300
2,4,1,0,0,subject,人が,0,4.979935169219970
3,4,1,0,0,subject,別荘,0,16.721031188964800
4,4,1,0,0,subject,を建て,0,7.6119771003723100
5,4,1,0,0,subject,た,0,2.454451084136960
6,4,1,0,0,subject,ことが,0,8.359418869018560
7,4,1,0,0,subject,先日,0,13.988886833190900
8,4,1,0,0,subject,雑誌,0,10.694745063781700
9,4,1,0,0,subject,に,0,3.2344982624054000
10,4,1,0,0,subject,取材,0,8.40274715423584
11,4,1,0,0,subject,された,0,2.8791327476501500
12,4,1,0,0,subject,芸,1,12.894180297851600
13,4,1,0,0,subject,人は,1,2.600950002670290
14,4,1,0,0,subject,若,1,12.274134635925300
15,4,1,0,0,subject,者に,1,7.676634311676030
16,4,1,0,0,subject,人気,1,2.2465226650238000
17,4,1,0,0,subject,だ,1,5.4357991218566900
18,4,1,0,0,subject,。,1,1.7333154678344700
19,4,1,0,0,subject,</s>,1,1.4614232778549200
0,4,1,0,1,subject,<s>,0,0.0
1,4,1,0,1,subject,芸,0,12.978181838989300
2,4,1,0,1,subject,人が,0,4.979935169219970
3,4,1,0,1,subject,建てた,0,15.351737976074200
4,4,1,0,1,subject,別荘,0,8.070446968078610
5,4,1,0,1,subject,が,0,4.410358905792240
6,4,1,0,1,subject,先日,0,12.686962127685500
7,4,1,0,1,subject,雑誌,0,8.566384315490720
8,4,1,0,1,subject,に,0,3.7685554027557400
9,4,1,0,1,subject,取材,0,6.336303234100340
10,4,1,0,1,subject,された,0,2.8876492977142300
11,4,1,0,1,subject,芸,1,17.44228744506840
12,4,1,0,1,subject,人は,1,3.945075511932370
13,4,1,0,1,subject,若,1,11.133061408996600
14,4,1,0,1,subject,者に,1,6.863992691040040
15,4,1,0,1,subject,人気,1,1.9847540855407700
16,4,1,0,1,subject,だ,1,5.559268951416020
17,4,1,0,1,subject,。,1,2.465848684310910
18,4,1,0,1,subject,</s>,1,1.4118372201919600
0,4,0,1,0,subject,別,0,0.0
1,4,0,1,0,subject,荘,0,3.4549360275268600
2,4,0,1,0,subject,を建て,0,7.820997714996340
3,4,0,1,0,subject,た,0,2.778656244277950
4,4,0,1,0,subject,ことが,0,8.113043785095220
5,4,0,1,0,subject,先日,0,14.459640502929700
6,4,0,1,0,subject,雑誌,0,14.639039039611800
7,4,0,1,0,subject,に,0,3.5446889400482200
8,4,0,1,0,subject,取材,0,7.837191581726070
9,4,0,1,0,subject,された,0,2.4783525466918900
10,4,0,1,0,subject,若,1,14.63072681427000
11,4,0,1,0,subject,者に,1,6.942887306213380
12,4,0,1,0,subject,人気,1,8.835232734680180
13,4,0,1,0,subject,だ,1,5.241701126098630
14,4,0,1,0,subject,。,1,1.5851846933364900
15,4,0,1,0,subject,</s>,1,1.7085444927215600
0,4,0,1,1,subject,<s>,0,0.0
1,4,0,1,1,subject,建てた,0,16.76431655883790
2,4,0,1,1,subject,別荘,0,12.550944328308100
3,4,0,1,1,subject,が,0,4.064244270324710
4,4,0,1,1,subject,先日,0,17.443233489990200
5,4,0,1,1,subject,雑誌,0,11.725493431091300
6,4,0,1,1,subject,に,0,2.865668535232540
7,4,0,1,1,subject,取材,0,4.522772312164310
8,4,0,1,1,subject,された,0,3.0624523162841800
9,4,0,1,1,subject,若,1,18.451515197753900
10,4,0,1,1,subject,者に,1,7.496740341186520
11,4,0,1,1,subject,人気,1,3.4549691677093500
12,4,0,1,1,subject,だ,1,5.425081253051760
13,4,0,1,1,subject,。,1,2.0662903785705600
14,4,0,1,1,subject,</s>,1,2.1348907947540300
0,4,1,1,0,subject,別,0,0.0
1,4,1,1,0,subject,荘,0,3.4549360275268600
2,4,1,1,0,subject,を建て,0,7.820997714996340
3,4,1,1,0,subject,た,0,2.778656244277950
4,4,1,1,0,subject,ことが,0,8.113043785095220
5,4,1,1,0,subject,先日,0,14.459640502929700
6,4,1,1,0,subject,雑誌,0,14.639039039611800
7,4,1,1,0,subject,に,0,3.5446889400482200
8,4,1,1,0,subject,取材,0,7.837191581726070
9,4,1,1,0,subject,された,0,2.4783525466918900
10,4,1,1,0,subject,芸,1,17.71112060546880
11,4,1,1,0,subject,人は,1,4.3620524406433100
12,4,1,1,0,subject,若,1,11.56865406036380
13,4,1,1,0,subject,者に,1,8.41956901550293
14,4,1,1,0,subject,人気,1,2.458160400390630
15,4,1,1,0,subject,だ,1,5.5208659172058100
16,4,1,1,0,subject,。,1,1.439970850944520
17,4,1,1,0,subject,</s>,1,1.523581862449650
0,4,1,1,1,subject,<s>,0,0.0
1,4,1,1,1,subject,建てた,0,16.76431655883790
2,4,1,1,1,subject,別荘,0,12.550944328308100
3,4,1,1,1,subject,が,0,4.064244270324710
4,4,1,1,1,subject,先日,0,17.443233489990200
5,4,1,1,1,subject,雑誌,0,11.725493431091300
6,4,1,1,1,subject,に,0,2.865668535232540
7,4,1,1,1,subject,取材,0,4.522772312164310
8,4,1,1,1,subject,された,0,3.0624523162841800
9,4,1,1,1,subject,芸,1,21.2598934173584
10,4,1,1,1,subject,人は,1,6.296194076538090
11,4,1,1,1,subject,若,1,11.382092475891100
12,4,1,1,1,subject,者に,1,6.997459411621090
13,4,1,1,1,subject,人気,1,2.449148416519170
14,4,1,1,1,subject,だ,1,5.278838157653810
15,4,1,1,1,subject,。,1,2.1932356357574500
16,4,1,1,1,subject,</s>,1,1.5863624811172500
0,1,0,0,0,object,<s>,0,0.0
1,1,0,0,0,object,教授,0,12.94544792175290
2,1,0,0,0,object,が,0,4.15436315536499
3,1,0,0,0,object,推理,0,14.435389518737800
4,1,0,0,0,object,小説,0,2.629460573196410
5,1,0,0,0,object,を書いた,0,7.964128494262700
6,1,0,0,0,object,ことが,0,8.741726875305180
7,1,0,0,0,object,最近,0,11.60822868347170
